276,2.7807,6.0229,8.1719,0.34182,6.3417,2.6859,0,2.7841,62.97,6.1749,9.0679,2.8304,0.33619,6.3218,2.2914,9.2819,4.892,30.265,19.856,18.476,0.34514,2.2418,1.215,38.684
132.62,1.095,0,0.85893,9.4288,3.0371,29.904,1.6649,0.93249,7.6681,0.37516,100.43,5.8394,2.1811,1.2455,6.8129,2.3504,0,23.38,25.492,12.448,2.82,8.3749,0,168.9
1442,0.58994,2.5604,4.754,120.7,11.662,7.7247,0,1.6412,0,8.2882,6.4241,12.065,2.6493,2.8901,13.253,3.7561,0,129.33,485.05,15.768,0,0,3.3081,84.287
64.782,2.6776,0.51189,4.453,0.94686,8.0248,9.193,0,1.0449,1.3091,0,14.874,0,3.5988,3.9848,0,23.064,0,16.256,12.538,0,2.7277,2.4715,0.88099,58.212
161.84,2.9015,0.29102,17.709,13.314,2.3214,7.6406,1.4168,8.8884,11.215,5.953,6.7206,0,3.4704,0.19282,1.3897,21.223,1.4476,86.278,46.433,6.2113,1.0252,5.6487,0.067964,166.12
240.06,0.77048,0,2.7543,3.2701,0.36414,11.774,0,0.7539,3.0625,6.3308,7.5961,4.3987,7.5346,6.4493,22.721,11.286,1.2841,67.712,35.423,19.706,30.896,84.006,0.084287,122.28
82.499,4.7907,0.8249,5.5265,3.303,0.7716,6.9868,0,1.485,5.1729,0.9194,40.885,5.8248,1.1927,4.802,5.8488,14.523,0,27.966,6.1889,5.7783,0.57929,8.0132,0,62.001
99.512,4.8268,0,1.7283,2.7398,3.1454,11.498,0,4.3576,7.823,4.537,24.91,0,0,1.7435,0,0.49149,0.86256,15.867,10.709,12.706,0.089085,2.8153,0,63.974
376.95,2.4136,0.43067,0,8.0299,1.0643,9.5153,0,2.72,0,0.72446,11.044,3.3368,0.48372,1.0182,0.030113,10.573,5.3493,70.758,175.86,13.945,2.0401,0,0,34.311
135.1,5.5246,0.039915,4.4163,0.25768,6.231,16.83,0,5.4695,5.7858,5.3734,35.912,2.4994,0,2.0776,1.9021,50.368,3.9225,35.146,21.589,6.4843,13.44,17.363,3.8187,224.28
616.04,3.0346,1.755,0.36238,167.16,1.9807,2.8389,4.6874,3.3157,0.9793,19.777,9.6524,2.6705,2.2148,0.7807,5.3181,1.581,1.4116,302.97,21.176,459.79,0,0.28767,5.8674,45.55
220.21,11.982,8.1104,11.761,15.221,14.348,29.904,0,7.5508,60.593,24.287,77.456,14.385,0.53711,13.599,7.8442,4.9897,0.41676,44.332,25.253,81.196,0.84142,13.082,0,168.21
198.1,5.1234,1.4288,16.57,18.616,4.4411,33.075,0,0.82701,3.5675,1.556,0,0,1.9374,2.3822,1.7652,7.8432,0,79.503,11.791,18.223,2.8778,0.37833,0,9.2892
36.43,6.9983,0.54459,3.6954,0.69597,1.7272,5.1752,0,0,0.42346,2.846,2.914,0,0,0.76974,0.35682,8.4956,4.8417,1.3437,2.1579,5.5433,0,1.1877,0,68.234
146.11,0.80296,0.41282,4.888,3.2664,0.52257,18.143,1.2593,0,10.977,2.955,3.0594,0,5.6509,0,0.10685,3.2662,0,2.4453,74.754,2.2879,3.4958,0,0,53.516
258.99,12.711,3.5595,8.7876,19.878,5.3466,6.6639,0,5.5985,0,14.005,22.937,0.58945,6.1828,0,10.325,17.34,2.7643,23.93,41.292,69.276,10.898,4.0343,0.56079,77.203
178.86,0,1.5534,2.1988,0.94334,1.0353,10.149,0,0,0.59967,2.0066,0,1.5523,1.2299,0.90779,5.6528,5.6955,2.297,64.613,40.195,6.433,16.731,20.753,2.8154,39.156
